municipio,year,week,humidity
angra dos reis,2013,16,68.1318684286
angra dos reis,2013,17,63.929012
angra dos reis,2013,18,66.7051751429
angra dos reis,2013,19,65.8136901429
angra dos reis,2013,20,65.7992342857
angra dos reis,2013,21,72.8625942857
angra dos reis,2013,22,75.8605022857
angra dos reis,2013,23,73.2531151429
angra dos reis,2013,24,70.6275674286
angra dos reis,2013,25,68.5065477143
angra dos reis,2013,26,76.7866114286
angra dos reis,2013,27,71.4891437143
angra dos reis,2013,28,70.1276248571
angra dos reis,2013,29,65.0911785714
angra dos reis,2013,30,74.6154531429
angra dos reis,2013,31,64.4993747143
angra dos reis,2013,32,59.458334
angra dos reis,2013,33,65.6932544286
angra dos reis,2013,34,57.9378151429
angra dos reis,2013,35,53.4549321429
angra dos reis,2013,36,60.6786038571
angra dos reis,2013,37,49.2365088571
angra dos reis,2013,38,59.8379212857
angra dos reis,2013,39,59.0380018571
angra dos reis,2013,40,73.3440441429
angra dos reis,2013,41,57.9690477143
angra dos reis,2013,42,68.7799438571
angra dos reis,2013,43,59.3690477143
angra dos reis,2013,44,63.2490072857
angra dos reis,2013,45,72.1758407143
angra dos reis,2013,46,56.1245535714
angra dos reis,2013,47,70.4660314286
angra dos reis,2013,48,75.3447374286
angra dos reis,2013,49,66.5704695714
angra dos reis,2013,50,70.9583325714
angra dos reis,2013,51,65.6865074286
angra dos reis,2013,52,66.8001821429
angra dos reis,2014,1,64.1421227143
angra dos reis,2014,2,56.2927498571
angra dos reis,2014,3,65.6094307143
angra dos reis,2014,4,62.7985294286
angra dos reis,2014,5,49.4380955714
angra dos reis,2014,6,48.1495801429
angra dos reis,2014,7,53.0238257143
angra dos reis,2014,8,64.2365097143
angra dos reis,2014,9,57.4309532857
angra dos reis,2014,10,69.532248
angra dos reis,2014,11,60.3549608571
angra dos reis,2014,12,58.8760197143
angra dos reis,2014,13,67.4099764286
angra dos reis,2014,14,73.3823822857
angra dos reis,2014,15,62.3748018571
angra dos reis,2014,16,76.0458328571
angra dos reis,2014,17,70.6598742857
angra dos reis,2014,18,59.1800174286
angra dos reis,2014,19,61.8857147143
angra dos reis,2014,20,62.085123
angra dos reis,2014,21,69.30993
angra dos reis,2014,22,70.8655114286
angra dos reis,2014,23,68.7533808571
angra dos reis,2014,24,68.7213034286
angra dos reis,2014,25,72.2530014286
angra dos reis,2014,26,64.9904758571
angra dos reis,2014,27,60.6069561429
angra dos reis,2014,28,73.4096037143
angra dos reis,2014,29,62.579761
angra dos reis,2014,30,64.9782964286
angra dos reis,2014,31,69.5198118571
angra dos reis,2014,32,54.7224497143
angra dos reis,2014,33,63.7811034286
angra dos reis,2014,34,60.6573131429
angra dos reis,2014,35,56.9451682857
angra dos reis,2014,36,56.0458337143
angra dos reis,2014,37,43.5248301429
angra dos reis,2014,38,54.7267858571
angra dos reis,2014,39,61.9627458571
angra dos reis,2014,40,64.5612861429
angra dos reis,2014,41,42.927358
angra dos reis,2014,42,45.7208334286
angra dos reis,2014,43,61.6706627143
angra dos reis,2014,44,54.7880588571
angra dos reis,2014,45,64.883929
angra dos reis,2014,46,66.1342804286
angra dos reis,2014,47,52.2997497143
angra dos reis,2014,48,72.225013
angra dos reis,2014,49,58.7888875714
