municipio,year,week,idhm
angra dos reis,2010,1,0.724
aperibe,2010,1,0.692
araruama,2010,1,0.718
areal,2010,1,0.684
armacao dos buzios,2010,1,0.728
arraial do cabo,2010,1,0.733
barra do pirai,2010,1,0.733
barra mansa,2010,1,0.729
belford roxo,2010,1,0.684
bom jardim,2010,1,0.538
bom jesus do itabapoana,2010,1,0.732
cabo frio,2010,1,0.735
cachoeiras de macacu,2010,1,0.7
cambuci,2010,1,0.691
carapebus,2010,1,0.713
comendador levy gasparian,2010,1,0.685
campos dos goytacazes,2010,1,0.716
cantagalo,2010,1,0.631
cardoso moreira,2010,1,0.648
carmo,2010,1,0.696
casimiro de abreu,2010,1,0.726
conceicao de macabu,2010,1,0.712
cordeiro,2010,1,0.729
duas barras,2010,1,0.659
duque de caxias,2010,1,0.711
engenheiro paulo de frontin,2010,1,0.722
guapimirim,2010,1,0.698
iguaba grande,2010,1,0.761
itaborai,2010,1,0.693
itaguai,2010,1,0.715
italva,2010,1,0.688
itaocara,2010,1,0.713
itaperuna,2010,1,0.73
itatiaia,2010,1,0.737
japeri,2010,1,0.659
laje do muriae,2010,1,0.668
macae,2010,1,0.764
macuco,2010,1,0.703
mage,2010,1,0.709
mangaratiba,2010,1,0.753
marica,2010,1,0.765
mendes,2010,1,0.736
mesquita,2010,1,0.656
miguel pereira,2010,1,0.745
miracema,2010,1,0.713
natividade,2010,1,0.673
nilopolis,2010,1,0.753
niteroi,2010,1,0.837
nova friburgo,2010,1,0.745
nova iguacu,2010,1,0.713
paracambi,2010,1,0.72
paraiba do sul,2010,1,0.702
paraty,2010,1,0.693
paty do alferes,2010,1,0.671
petropolis,2010,1,0.745
pinheiral,2010,1,0.715
pirai,2010,1,0.708
porciuncula,2010,1,0.697
porto real,2010,1,0.713
quatis,2010,1,0.69
queimados,2010,1,0.68
quissama,2010,1,0.704
resende,2010,1,0.768
rio bonito,2010,1,0.71
rio claro,2010,1,0.683
rio das flores,2010,1,0.68
rio das ostras,2010,1,0.773
rio de janeiro,2010,1,0.799
santa maria madalena,2010,1,0.668
santo antonio de padua,2010,1,0.718
sao francisco de itabapoana,2010,1,0.639
sao fidelis,2010,1,0.691
sao goncalo,2010,1,0.739
sao joao da barra,2010,1,0.671
sao joao de meriti,2010,1,0.719
sao jose de uba,2010,1,0.652
sao jose do vale do rio preto,2010,1,0.66
sao pedro da aldeia,2010,1,0.712
sao sebastiao do alto,2010,1,0.646
sapucaia,2010,1,0.59
saquarema,2010,1,0.709
seropedica,2010,1,0.713
silva jardim,2010,1,0.654
sumidouro,2010,1,0.611
tangua,2010,1,0.654
teresopolis,2010,1,0.73
trajano de moraes,2010,1,0.667
tres rios,2010,1,0.725
valenca,2010,1,0.623
varre-sai,2010,1,0.659
vassouras,2010,1,0.714
volta redonda,2010,1,0.771
angra dos reis,2010,2,0.724
aperibe,2010,2,0.692
araruama,2010,2,0.718
areal,2010,2,0.684
armacao dos buzios,2010,2,0.728
arraial do cabo,2010,2,0.733
barra do pirai,2010,2,0.733
barra mansa,2010,2,0.729
belford roxo,2010,2,0.684
bom jardim,2010,2,0.538
bom jesus do itabapoana,2010,2,0.732
cabo frio,2010,2,0.735
cachoeiras de macacu,2010,2,0.7
cambuci,2010,2,0.691
carapebus,2010,2,0.713
comendador levy gasparian,2010,2,0.685
campos dos goytacazes,2010,2,0.716
cantagalo,2010,2,0.631
cardoso moreira,2010,2,0.648
carmo,2010,2,0.696
casimiro de abreu,2010,2,0.726
conceicao de macabu,2010,2,0.712
cordeiro,2010,2,0.729
duas barras,2010,2,0.659
duque de caxias,2010,2,0.711
engenheiro paulo de frontin,2010,2,0.722
guapimirim,2010,2,0.698
iguaba grande,2010,2,0.761
itaborai,2010,2,0.693
itaguai,2010,2,0.715
italva,2010,2,0.688
itaocara,2010,2,0.713
itaperuna,2010,2,0.73
itatiaia,2010,2,0.737
japeri,2010,2,0.659
laje do muriae,2010,2,0.668
macae,2010,2,0.764
macuco,2010,2,0.703
mage,2010,2,0.709
mangaratiba,2010,2,0.753
marica,2010,2,0.765
mendes,2010,2,0.736
mesquita,2010,2,0.656
miguel pereira,2010,2,0.745
miracema,2010,2,0.713
natividade,2010,2,0.673
nilopolis,2010,2,0.753
niteroi,2010,2,0.837
nova friburgo,2010,2,0.745
nova iguacu,2010,2,0.713
paracambi,2010,2,0.72
paraiba do sul,2010,2,0.702
paraty,2010,2,0.693
paty do alferes,2010,2,0.671
petropolis,2010,2,0.745
pinheiral,2010,2,0.715
pirai,2010,2,0.708
porciuncula,2010,2,0.697
porto real,2010,2,0.713
quatis,2010,2,0.69
queimados,2010,2,0.68
quissama,2010,2,0.704
resende,2010,2,0.768
rio bonito,2010,2,0.71
rio claro,2010,2,0.683
rio das flores,2010,2,0.68
rio das ostras,2010,2,0.773
rio de janeiro,2010,2,0.799
santa maria madalena,2010,2,0.668
santo antonio de padua,2010,2,0.718
sao francisco de itabapoana,2010,2,0.639
sao fidelis,2010,2,0.691
sao goncalo,2010,2,0.739
sao joao da barra,2010,2,0.671
sao joao de meriti,2010,2,0.719
sao jose de uba,2010,2,0.652
sao jose do vale do rio preto,2010,2,0.66
sao pedro da aldeia,2010,2,0.712
sao sebastiao do alto,2010,2,0.646
sapucaia,2010,2,0.59
saquarema,2010,2,0.709
seropedica,2010,2,0.713
silva jardim,2010,2,0.654
sumidouro,2010,2,0.611
tangua,2010,2,0.654
teresopolis,2010,2,0.73
trajano de moraes,2010,2,0.667
tres rios,2010,2,0.725
valenca,2010,2,0.623
varre-sai,2010,2,0.659
vassouras,2010,2,0.714
volta redonda,2010,2,0.771
angra dos reis,2010,3,0.724
aperibe,2010,3,0.692
araruama,2010,3,0.718
areal,2010,3,0.684
armacao dos buzios,2010,3,0.728
arraial do cabo,2010,3,0.733
barra do pirai,2010,3,0.733
barra mansa,2010,3,0.729
belford roxo,2010,3,0.684
bom jardim,2010,3,0.538
bom jesus do itabapoana,2010,3,0.732
cabo frio,2010,3,0.735
cachoeiras de macacu,2010,3,0.7
cambuci,2010,3,0.691
carapebus,2010,3,0.713
comendador levy gasparian,2010,3,0.685
campos dos goytacazes,2010,3,0.716
cantagalo,2010,3,0.631
cardoso moreira,2010,3,0.648
carmo,2010,3,0.696
casimiro de abreu,2010,3,0.726
conceicao de macabu,2010,3,0.712
cordeiro,2010,3,0.729
duas barras,2010,3,0.659
duque de caxias,2010,3,0.711
engenheiro paulo de frontin,2010,3,0.722
guapimirim,2010,3,0.698
iguaba grande,2010,3,0.761
itaborai,2010,3,0.693
itaguai,2010,3,0.715
italva,2010,3,0.688
itaocara,2010,3,0.713
itaperuna,2010,3,0.73
itatiaia,2010,3,0.737
japeri,2010,3,0.659
laje do muriae,2010,3,0.668
macae,2010,3,0.764
macuco,2010,3,0.703
mage,2010,3,0.709
mangaratiba,2010,3,0.753
marica,2010,3,0.765
mendes,2010,3,0.736
mesquita,2010,3,0.656
miguel pereira,2010,3,0.745
miracema,2010,3,0.713
natividade,2010,3,0.673
nilopolis,2010,3,0.753
niteroi,2010,3,0.837
nova friburgo,2010,3,0.745
nova iguacu,2010,3,0.713
paracambi,2010,3,0.72
paraiba do sul,2010,3,0.702
paraty,2010,3,0.693
paty do alferes,2010,3,0.671
petropolis,2010,3,0.745
pinheiral,2010,3,0.715
pirai,2010,3,0.708
porciuncula,2010,3,0.697
porto real,2010,3,0.713
quatis,2010,3,0.69
queimados,2010,3,0.68
quissama,2010,3,0.704
resende,2010,3,0.768
rio bonito,2010,3,0.71
rio claro,2010,3,0.683
rio das flores,2010,3,0.68
rio das ostras,2010,3,0.773
rio de janeiro,2010,3,0.799
santa maria madalena,2010,3,0.668
santo antonio de padua,2010,3,0.718
sao francisco de itabapoana,2010,3,0.639
sao fidelis,2010,3,0.691
sao goncalo,2010,3,0.739
sao joao da barra,2010,3,0.671
sao joao de meriti,2010,3,0.719
sao jose de uba,2010,3,0.652
sao jose do vale do rio preto,2010,3,0.66
sao pedro da aldeia,2010,3,0.712
sao sebastiao do alto,2010,3,0.646
sapucaia,2010,3,0.59
saquarema,2010,3,0.709
seropedica,2010,3,0.713
silva jardim,2010,3,0.654
sumidouro,2010,3,0.611
tangua,2010,3,0.654
teresopolis,2010,3,0.73
trajano de moraes,2010,3,0.667
tres rios,2010,3,0.725
valenca,2010,3,0.623
varre-sai,2010,3,0.659
vassouras,2010,3,0.714
volta redonda,2010,3,0.771
angra dos reis,2010,4,0.724
aperibe,2010,4,0.692
araruama,2010,4,0.718
areal,2010,4,0.684
armacao dos buzios,2010,4,0.728
arraial do cabo,2010,4,0.733
barra do pirai,2010,4,0.733
barra mansa,2010,4,0.729
belford roxo,2010,4,0.684
bom jardim,2010,4,0.538
bom jesus do itabapoana,2010,4,0.732
cabo frio,2010,4,0.735
cachoeiras de macacu,2010,4,0.7
cambuci,2010,4,0.691
carapebus,2010,4,0.713
comendador levy gasparian,2010,4,0.685
campos dos goytacazes,2010,4,0.716
cantagalo,2010,4,0.631
cardoso moreira,2010,4,0.648
carmo,2010,4,0.696
casimiro de abreu,2010,4,0.726
conceicao de macabu,2010,4,0.712
cordeiro,2010,4,0.729
duas barras,2010,4,0.659
duque de caxias,2010,4,0.711
engenheiro paulo de frontin,2010,4,0.722
guapimirim,2010,4,0.698
iguaba grande,2010,4,0.761
itaborai,2010,4,0.693
itaguai,2010,4,0.715
italva,2010,4,0.688
itaocara,2010,4,0.713
itaperuna,2010,4,0.73
itatiaia,2010,4,0.737
japeri,2010,4,0.659
laje do muriae,2010,4,0.668
macae,2010,4,0.764
macuco,2010,4,0.703
mage,2010,4,0.709
mangaratiba,2010,4,0.753
marica,2010,4,0.765
mendes,2010,4,0.736
mesquita,2010,4,0.656
miguel pereira,2010,4,0.745
miracema,2010,4,0.713
natividade,2010,4,0.673
nilopolis,2010,4,0.753
niteroi,2010,4,0.837
nova friburgo,2010,4,0.745
nova iguacu,2010,4,0.713
paracambi,2010,4,0.72
paraiba do sul,2010,4,0.702
paraty,2010,4,0.693
paty do alferes,2010,4,0.671
petropolis,2010,4,0.745
pinheiral,2010,4,0.715
pirai,2010,4,0.708
porciuncula,2010,4,0.697
porto real,2010,4,0.713
quatis,2010,4,0.69
queimados,2010,4,0.68
quissama,2010,4,0.704
resende,2010,4,0.768
rio bonito,2010,4,0.71
rio claro,2010,4,0.683
rio das flores,2010,4,0.68
rio das ostras,2010,4,0.773
rio de janeiro,2010,4,0.799
santa maria madalena,2010,4,0.668
santo antonio de padua,2010,4,0.718
sao francisco de itabapoana,2010,4,0.639
sao fidelis,2010,4,0.691
sao goncalo,2010,4,0.739
sao joao da barra,2010,4,0.671
sao joao de meriti,2010,4,0.719
sao jose de uba,2010,4,0.652
sao jose do vale do rio preto,2010,4,0.66
sao pedro da aldeia,2010,4,0.712
sao sebastiao do alto,2010,4,0.646
sapucaia,2010,4,0.59
saquarema,2010,4,0.709
seropedica,2010,4,0.713
silva jardim,2010,4,0.654
sumidouro,2010,4,0.611
tangua,2010,4,0.654
teresopolis,2010,4,0.73
trajano de moraes,2010,4,0.667
tres rios,2010,4,0.725
valenca,2010,4,0.623
varre-sai,2010,4,0.659
vassouras,2010,4,0.714
volta redonda,2010,4,0.771
angra dos reis,2010,5,0.724
aperibe,2010,5,0.692
araruama,2010,5,0.718
areal,2010,5,0.684
armacao dos buzios,2010,5,0.728
arraial do cabo,2010,5,0.733
barra do pirai,2010,5,0.733
barra mansa,2010,5,0.729
belford roxo,2010,5,0.684
bom jardim,2010,5,0.538
bom jesus do itabapoana,2010,5,0.732
cabo frio,2010,5,0.735
cachoeiras de macacu,2010,5,0.7
cambuci,2010,5,0.691
carapebus,2010,5,0.713
comendador levy gasparian,2010,5,0.685
campos dos goytacazes,2010,5,0.716
cantagalo,2010,5,0.631
cardoso moreira,2010,5,0.648
carmo,2010,5,0.696
casimiro de abreu,2010,5,0.726
conceicao de macabu,2010,5,0.712
cordeiro,2010,5,0.729
duas barras,2010,5,0.659
duque de caxias,2010,5,0.711
engenheiro paulo de frontin,2010,5,0.722
guapimirim,2010,5,0.698
iguaba grande,2010,5,0.761
itaborai,2010,5,0.693
itaguai,2010,5,0.715
italva,2010,5,0.688
itaocara,2010,5,0.713
itaperuna,2010,5,0.73
itatiaia,2010,5,0.737
japeri,2010,5,0.659
laje do muriae,2010,5,0.668
macae,2010,5,0.764
macuco,2010,5,0.703
mage,2010,5,0.709
mangaratiba,2010,5,0.753
marica,2010,5,0.765
mendes,2010,5,0.736
mesquita,2010,5,0.656
miguel pereira,2010,5,0.745
miracema,2010,5,0.713
natividade,2010,5,0.673
nilopolis,2010,5,0.753
niteroi,2010,5,0.837
nova friburgo,2010,5,0.745
nova iguacu,2010,5,0.713
paracambi,2010,5,0.72
paraiba do sul,2010,5,0.702
paraty,2010,5,0.693
paty do alferes,2010,5,0.671
petropolis,2010,5,0.745
pinheiral,2010,5,0.715
pirai,2010,5,0.708
porciuncula,2010,5,0.697
porto real,2010,5,0.713
quatis,2010,5,0.69
queimados,2010,5,0.68
quissama,2010,5,0.704
resende,2010,5,0.768
rio bonito,2010,5,0.71
rio claro,2010,5,0.683
rio das flores,2010,5,0.68
rio das ostras,2010,5,0.773
rio de janeiro,2010,5,0.799
santa maria madalena,2010,5,0.668
santo antonio de padua,2010,5,0.718
sao francisco de itabapoana,2010,5,0.639
sao fidelis,2010,5,0.691
sao goncalo,2010,5,0.739
sao joao da barra,2010,5,0.671
sao joao de meriti,2010,5,0.719
sao jose de uba,2010,5,0.652
sao jose do vale do rio preto,2010,5,0.66
sao pedro da aldeia,2010,5,0.712
sao sebastiao do alto,2010,5,0.646
sapucaia,2010,5,0.59
saquarema,2010,5,0.709
seropedica,2010,5,0.713
silva jardim,2010,5,0.654
sumidouro,2010,5,0.611
tangua,2010,5,0.654
teresopolis,2010,5,0.73
trajano de moraes,2010,5,0.667
tres rios,2010,5,0.725
valenca,2010,5,0.623
varre-sai,2010,5,0.659
vassouras,2010,5,0.714
volta redonda,2010,5,0.771
angra dos reis,2010,6,0.724
aperibe,2010,6,0.692
araruama,2010,6,0.718
areal,2010,6,0.684
armacao dos buzios,2010,6,0.728
arraial do cabo,2010,6,0.733
barra do pirai,2010,6,0.733
barra mansa,2010,6,0.729
belford roxo,2010,6,0.684
bom jardim,2010,6,0.538
bom jesus do itabapoana,2010,6,0.732
cabo frio,2010,6,0.735
cachoeiras de macacu,2010,6,0.7
cambuci,2010,6,0.691
carapebus,2010,6,0.713
comendador levy gasparian,2010,6,0.685
campos dos goytacazes,2010,6,0.716
cantagalo,2010,6,0.631
cardoso moreira,2010,6,0.648
carmo,2010,6,0.696
casimiro de abreu,2010,6,0.726
conceicao de macabu,2010,6,0.712
cordeiro,2010,6,0.729
duas barras,2010,6,0.659
duque de caxias,2010,6,0.711
engenheiro paulo de frontin,2010,6,0.722
guapimirim,2010,6,0.698
iguaba grande,2010,6,0.761
itaborai,2010,6,0.693
itaguai,2010,6,0.715
italva,2010,6,0.688
itaocara,2010,6,0.713
itaperuna,2010,6,0.73
itatiaia,2010,6,0.737
japeri,2010,6,0.659
laje do muriae,2010,6,0.668
macae,2010,6,0.764
macuco,2010,6,0.703
mage,2010,6,0.709
mangaratiba,2010,6,0.753
marica,2010,6,0.765
mendes,2010,6,0.736
mesquita,2010,6,0.656
miguel pereira,2010,6,0.745
miracema,2010,6,0.713
natividade,2010,6,0.673
nilopolis,2010,6,0.753
niteroi,2010,6,0.837
nova friburgo,2010,6,0.745
nova iguacu,2010,6,0.713
paracambi,2010,6,0.72
paraiba do sul,2010,6,0.702
paraty,2010,6,0.693
paty do alferes,2010,6,0.671
petropolis,2010,6,0.745
pinheiral,2010,6,0.715
pirai,2010,6,0.708
porciuncula,2010,6,0.697
porto real,2010,6,0.713
quatis,2010,6,0.69
queimados,2010,6,0.68
quissama,2010,6,0.704
resende,2010,6,0.768
rio bonito,2010,6,0.71
rio claro,2010,6,0.683
rio das flores,2010,6,0.68
rio das ostras,2010,6,0.773
rio de janeiro,2010,6,0.799
santa maria madalena,2010,6,0.668
santo antonio de padua,2010,6,0.718
sao francisco de itabapoana,2010,6,0.639
sao fidelis,2010,6,0.691
sao goncalo,2010,6,0.739
sao joao da barra,2010,6,0.671
sao joao de meriti,2010,6,0.719
sao jose de uba,2010,6,0.652
sao jose do vale do rio preto,2010,6,0.66
sao pedro da aldeia,2010,6,0.712
sao sebastiao do alto,2010,6,0.646
sapucaia,2010,6,0.59
saquarema,2010,6,0.709
seropedica,2010,6,0.713
silva jardim,2010,6,0.654
sumidouro,2010,6,0.611
tangua,2010,6,0.654
teresopolis,2010,6,0.73
trajano de moraes,2010,6,0.667
tres rios,2010,6,0.725
valenca,2010,6,0.623
varre-sai,2010,6,0.659
vassouras,2010,6,0.714
volta redonda,2010,6,0.771
angra dos reis,2010,7,0.724
aperibe,2010,7,0.692
araruama,2010,7,0.718
areal,2010,7,0.684
armacao dos buzios,2010,7,0.728
arraial do cabo,2010,7,0.733
barra do pirai,2010,7,0.733
barra mansa,2010,7,0.729
belford roxo,2010,7,0.684
bom jardim,2010,7,0.538
bom jesus do itabapoana,2010,7,0.732
cabo frio,2010,7,0.735
cachoeiras de macacu,2010,7,0.7
cambuci,2010,7,0.691
carapebus,2010,7,0.713
comendador levy gasparian,2010,7,0.685
campos dos goytacazes,2010,7,0.716
cantagalo,2010,7,0.631
cardoso moreira,2010,7,0.648
carmo,2010,7,0.696
casimiro de abreu,2010,7,0.726
conceicao de macabu,2010,7,0.712
cordeiro,2010,7,0.729
duas barras,2010,7,0.659
duque de caxias,2010,7,0.711
engenheiro paulo de frontin,2010,7,0.722
guapimirim,2010,7,0.698
iguaba grande,2010,7,0.761
itaborai,2010,7,0.693
itaguai,2010,7,0.715
italva,2010,7,0.688
itaocara,2010,7,0.713
itaperuna,2010,7,0.73
itatiaia,2010,7,0.737
japeri,2010,7,0.659
laje do muriae,2010,7,0.668
macae,2010,7,0.764
macuco,2010,7,0.703
mage,2010,7,0.709
mangaratiba,2010,7,0.753
marica,2010,7,0.765
mendes,2010,7,0.736
mesquita,2010,7,0.656
miguel pereira,2010,7,0.745
miracema,2010,7,0.713
natividade,2010,7,0.673
nilopolis,2010,7,0.753
niteroi,2010,7,0.837
nova friburgo,2010,7,0.745
nova iguacu,2010,7,0.713
paracambi,2010,7,0.72
paraiba do sul,2010,7,0.702
paraty,2010,7,0.693
paty do alferes,2010,7,0.671
petropolis,2010,7,0.745
pinheiral,2010,7,0.715
pirai,2010,7,0.708
porciuncula,2010,7,0.697
porto real,2010,7,0.713
quatis,2010,7,0.69
queimados,2010,7,0.68
quissama,2010,7,0.704
resende,2010,7,0.768
rio bonito,2010,7,0.71
rio claro,2010,7,0.683
rio das flores,2010,7,0.68
rio das ostras,2010,7,0.773
rio de janeiro,2010,7,0.799
santa maria madalena,2010,7,0.668
santo antonio de padua,2010,7,0.718
sao francisco de itabapoana,2010,7,0.639
sao fidelis,2010,7,0.691
sao goncalo,2010,7,0.739
sao joao da barra,2010,7,0.671
sao joao de meriti,2010,7,0.719
sao jose de uba,2010,7,0.652
sao jose do vale do rio preto,2010,7,0.66
sao pedro da aldeia,2010,7,0.712
sao sebastiao do alto,2010,7,0.646
sapucaia,2010,7,0.59
saquarema,2010,7,0.709
seropedica,2010,7,0.713
silva jardim,2010,7,0.654
sumidouro,2010,7,0.611
tangua,2010,7,0.654
teresopolis,2010,7,0.73
trajano de moraes,2010,7,0.667
tres rios,2010,7,0.725
valenca,2010,7,0.623
varre-sai,2010,7,0.659
vassouras,2010,7,0.714
volta redonda,2010,7,0.771
angra dos reis,2010,8,0.724
aperibe,2010,8,0.692
araruama,2010,8,0.718
areal,2010,8,0.684
armacao dos buzios,2010,8,0.728
arraial do cabo,2010,8,0.733
barra do pirai,2010,8,0.733
barra mansa,2010,8,0.729
belford roxo,2010,8,0.684
bom jardim,2010,8,0.538
bom jesus do itabapoana,2010,8,0.732
cabo frio,2010,8,0.735
cachoeiras de macacu,2010,8,0.7
cambuci,2010,8,0.691
carapebus,2010,8,0.713
comendador levy gasparian,2010,8,0.685
campos dos goytacazes,2010,8,0.716
cantagalo,2010,8,0.631
cardoso moreira,2010,8,0.648
carmo,2010,8,0.696
casimiro de abreu,2010,8,0.726
conceicao de macabu,2010,8,0.712
cordeiro,2010,8,0.729
duas barras,2010,8,0.659
duque de caxias,2010,8,0.711
engenheiro paulo de frontin,2010,8,0.722
guapimirim,2010,8,0.698
iguaba grande,2010,8,0.761
itaborai,2010,8,0.693
itaguai,2010,8,0.715
italva,2010,8,0.688
itaocara,2010,8,0.713
itaperuna,2010,8,0.73
itatiaia,2010,8,0.737
japeri,2010,8,0.659
laje do muriae,2010,8,0.668
macae,2010,8,0.764
macuco,2010,8,0.703
mage,2010,8,0.709
mangaratiba,2010,8,0.753
marica,2010,8,0.765
mendes,2010,8,0.736
mesquita,2010,8,0.656
miguel pereira,2010,8,0.745
miracema,2010,8,0.713
natividade,2010,8,0.673
nilopolis,2010,8,0.753
niteroi,2010,8,0.837
nova friburgo,2010,8,0.745
nova iguacu,2010,8,0.713
paracambi,2010,8,0.72
paraiba do sul,2010,8,0.702
paraty,2010,8,0.693
paty do alferes,2010,8,0.671
petropolis,2010,8,0.745
pinheiral,2010,8,0.715
pirai,2010,8,0.708
porciuncula,2010,8,0.697
porto real,2010,8,0.713
quatis,2010,8,0.69
queimados,2010,8,0.68
quissama,2010,8,0.704
resende,2010,8,0.768
rio bonito,2010,8,0.71
rio claro,2010,8,0.683
rio das flores,2010,8,0.68
rio das ostras,2010,8,0.773
rio de janeiro,2010,8,0.799
santa maria madalena,2010,8,0.668
santo antonio de padua,2010,8,0.718
sao francisco de itabapoana,2010,8,0.639
sao fidelis,2010,8,0.691
sao goncalo,2010,8,0.739
sao joao da barra,2010,8,0.671
sao joao de meriti,2010,8,0.719
sao jose de uba,2010,8,0.652
sao jose do vale do rio preto,2010,8,0.66
sao pedro da aldeia,2010,8,0.712
sao sebastiao do alto,2010,8,0.646
sapucaia,2010,8,0.59
saquarema,2010,8,0.709
seropedica,2010,8,0.713
silva jardim,2010,8,0.654
sumidouro,2010,8,0.611
tangua,2010,8,0.654
teresopolis,2010,8,0.73
trajano de moraes,2010,8,0.667
tres rios,2010,8,0.725
valenca,2010,8,0.623
varre-sai,2010,8,0.659
vassouras,2010,8,0.714
volta redonda,2010,8,0.771
angra dos reis,2010,9,0.724
aperibe,2010,9,0.692
araruama,2010,9,0.718
areal,2010,9,0.684
armacao dos buzios,2010,9,0.728
arraial do cabo,2010,9,0.733
barra do pirai,2010,9,0.733
barra mansa,2010,9,0.729
belford roxo,2010,9,0.684
bom jardim,2010,9,0.538
bom jesus do itabapoana,2010,9,0.732
cabo frio,2010,9,0.735
cachoeiras de macacu,2010,9,0.7
cambuci,2010,9,0.691
carapebus,2010,9,0.713
comendador levy gasparian,2010,9,0.685
campos dos goytacazes,2010,9,0.716
cantagalo,2010,9,0.631
cardoso moreira,2010,9,0.648
carmo,2010,9,0.696
casimiro de abreu,2010,9,0.726
conceicao de macabu,2010,9,0.712
cordeiro,2010,9,0.729
duas barras,2010,9,0.659
duque de caxias,2010,9,0.711
engenheiro paulo de frontin,2010,9,0.722
guapimirim,2010,9,0.698
iguaba grande,2010,9,0.761
itaborai,2010,9,0.693
itaguai,2010,9,0.715
italva,2010,9,0.688
itaocara,2010,9,0.713
itaperuna,2010,9,0.73
itatiaia,2010,9,0.737
japeri,2010,9,0.659
laje do muriae,2010,9,0.668
macae,2010,9,0.764
macuco,2010,9,0.703
mage,2010,9,0.709
mangaratiba,2010,9,0.753
marica,2010,9,0.765
mendes,2010,9,0.736
mesquita,2010,9,0.656
miguel pereira,2010,9,0.745
miracema,2010,9,0.713
natividade,2010,9,0.673
nilopolis,2010,9,0.753
niteroi,2010,9,0.837
nova friburgo,2010,9,0.745
nova iguacu,2010,9,0.713
paracambi,2010,9,0.72
paraiba do sul,2010,9,0.702
paraty,2010,9,0.693
paty do alferes,2010,9,0.671
petropolis,2010,9,0.745
pinheiral,2010,9,0.715
pirai,2010,9,0.708
porciuncula,2010,9,0.697
porto real,2010,9,0.713
quatis,2010,9,0.69
queimados,2010,9,0.68
quissama,2010,9,0.704
resende,2010,9,0.768
rio bonito,2010,9,0.71
rio claro,2010,9,0.683
rio das flores,2010,9,0.68
rio das ostras,2010,9,0.773
rio de janeiro,2010,9,0.799
santa maria madalena,2010,9,0.668
santo antonio de padua,2010,9,0.718
sao francisco de itabapoana,2010,9,0.639
sao fidelis,2010,9,0.691
sao goncalo,2010,9,0.739
sao joao da barra,2010,9,0.671
sao joao de meriti,2010,9,0.719
sao jose de uba,2010,9,0.652
sao jose do vale do rio preto,2010,9,0.66
sao pedro da aldeia,2010,9,0.712
sao sebastiao do alto,2010,9,0.646
sapucaia,2010,9,0.59
saquarema,2010,9,0.709
seropedica,2010,9,0.713
silva jardim,2010,9,0.654
sumidouro,2010,9,0.611
tangua,2010,9,0.654
teresopolis,2010,9,0.73
trajano de moraes,2010,9,0.667
tres rios,2010,9,0.725
valenca,2010,9,0.623
varre-sai,2010,9,0.659
vassouras,2010,9,0.714
volta redonda,2010,9,0.771
angra dos reis,2010,10,0.724
aperibe,2010,10,0.692
araruama,2010,10,0.718
areal,2010,10,0.684
armacao dos buzios,2010,10,0.728
arraial do cabo,2010,10,0.733
barra do pirai,2010,10,0.733
barra mansa,2010,10,0.729
belford roxo,2010,10,0.684
bom jardim,2010,10,0.538
bom jesus do itabapoana,2010,10,0.732
cabo frio,2010,10,0.735
cachoeiras de macacu,2010,10,0.7
cambuci,2010,10,0.691
carapebus,2010,10,0.713
comendador levy gasparian,2010,10,0.685
campos dos goytacazes,2010,10,0.716
cantagalo,2010,10,0.631
cardoso moreira,2010,10,0.648
carmo,2010,10,0.696
casimiro de abreu,2010,10,0.726
conceicao de macabu,2010,10,0.712
cordeiro,2010,10,0.729
duas barras,2010,10,0.659
duque de caxias,2010,10,0.711
engenheiro paulo de frontin,2010,10,0.722
guapimirim,2010,10,0.698
iguaba grande,2010,10,0.761
itaborai,2010,10,0.693
itaguai,2010,10,0.715
italva,2010,10,0.688
itaocara,2010,10,0.713
itaperuna,2010,10,0.73
itatiaia,2010,10,0.737
japeri,2010,10,0.659
laje do muriae,2010,10,0.668
macae,2010,10,0.764
macuco,2010,10,0.703
mage,2010,10,0.709
mangaratiba,2010,10,0.753
marica,2010,10,0.765
mendes,2010,10,0.736
mesquita,2010,10,0.656
miguel pereira,2010,10,0.745
miracema,2010,10,0.713
natividade,2010,10,0.673
nilopolis,2010,10,0.753
niteroi,2010,10,0.837
nova friburgo,2010,10,0.745
nova iguacu,2010,10,0.713
paracambi,2010,10,0.72
paraiba do sul,2010,10,0.702
paraty,2010,10,0.693
paty do alferes,2010,10,0.671
petropolis,2010,10,0.745
pinheiral,2010,10,0.715
pirai,2010,10,0.708
porciuncula,2010,10,0.697
porto real,2010,10,0.713
quatis,2010,10,0.69
queimados,2010,10,0.68
quissama,2010,10,0.704
resende,2010,10,0.768
rio bonito,2010,10,0.71
rio claro,2010,10,0.683
rio das flores,2010,10,0.68
rio das ostras,2010,10,0.773
rio de janeiro,2010,10,0.799
santa maria madalena,2010,10,0.668
santo antonio de padua,2010,10,0.718
sao francisco de itabapoana,2010,10,0.639
sao fidelis,2010,10,0.691
sao goncalo,2010,10,0.739
sao joao da barra,2010,10,0.671
sao joao de meriti,2010,10,0.719
sao jose de uba,2010,10,0.652
sao jose do vale do rio preto,2010,10,0.66
sao pedro da aldeia,2010,10,0.712
sao sebastiao do alto,2010,10,0.646
sapucaia,2010,10,0.59
saquarema,2010,10,0.709
seropedica,2010,10,0.713
silva jardim,2010,10,0.654
sumidouro,2010,10,0.611
tangua,2010,10,0.654
