municipio,year,week,temperature
rio bonito,2010,2,28.6512114286
rio claro,2010,2,29.8307825714
rio das flores,2010,2,29.0219465714
rio das ostras,2010,2,28.4650857143
rio de janeiro,2010,2,29.0219465714
santa maria madalena,2010,2,30.1789475714
santo antonio de padua,2010,2,30.1789475714
sao francisco de itabapoana,2010,2,30.1789475714
sao fidelis,2010,2,30.1789475714
sao goncalo,2010,2,29.0219465714
sao joao da barra,2010,2,30.1789475714
sao joao de meriti,2010,2,29.0219465714
sao jose de uba,2010,2,30.1789475714
sao jose do vale do rio preto,2010,2,29.0219465714
sao pedro da aldeia,2010,2,29.1547617143
sao sebastiao do alto,2010,2,30.1789475714
sapucaia,2010,2,29.0219465714
saquarema,2010,2,29.1547617143
seropedica,2010,2,29.8307825714
silva jardim,2010,2,29.1547617143
sumidouro,2010,2,28.4650857143
tangua,2010,2,29.0219465714
teresopolis,2010,2,29.0219465714
trajano de moraes,2010,2,28.4650857143
tres rios,2010,2,29.0219465714
valenca,2010,2,26.1538148571
varre-sai,2010,2,30.1789475714
vassouras,2010,2,29.0219465714
volta redonda,2010,2,28.2740682857
angra dos reis,2010,3,26.161401
aperibe,2010,3,30.4357142857
araruama,2010,3,29.7380951429
areal,2010,3,28.3440917143
armacao dos buzios,2010,3,29.1614908571
arraial do cabo,2010,3,29.7380951429
barra do pirai,2010,3,27.7775502857
barra mansa,2010,3,29.1893937143
belford roxo,2010,3,28.3440917143
bom jardim,2010,3,29.1614908571
bom jesus do itabapoana,2010,3,30.4357142857
cabo frio,2010,3,29.7380951429
cachoeiras de macacu,2010,3,28.3440917143
cambuci,2010,3,30.4357142857
carapebus,2010,3,30.4357142857
comendador levy gasparian,2010,3,28.3440917143
campos dos goytacazes,2010,3,30.4357142857
cantagalo,2010,3,29.1614908571
cardoso moreira,2010,3,30.4357142857
carmo,2010,3,29.1614908571
casimiro de abreu,2010,3,29.1614908571
conceicao de macabu,2010,3,30.4357142857
cordeiro,2010,3,29.1614908571
duas barras,2010,3,29.1614908571
duque de caxias,2010,3,28.3440917143
engenheiro paulo de frontin,2010,3,29.1893937143
guapimirim,2010,3,28.3440917143
iguaba grande,2010,3,29.7380951429
itaborai,2010,3,28.3440917143
itaguai,2010,3,29.1893937143
italva,2010,3,30.4357142857
itaocara,2010,3,30.4357142857
itaperuna,2010,3,30.4357142857
itatiaia,2010,3,26.161401
japeri,2010,3,28.3440917143
laje do muriae,2010,3,30.4357142857
macae,2010,3,29.1614908571
macuco,2010,3,29.1614908571
mage,2010,3,28.3440917143
mangaratiba,2010,3,27.7775502857
marica,2010,3,28.3440917143
mendes,2010,3,29.1893937143
mesquita,2010,3,24.4734695714
miguel pereira,2010,3,28.3440917143
miracema,2010,3,30.4357142857
natividade,2010,3,30.4357142857
nilopolis,2010,3,28.3440917143
niteroi,2010,3,28.3440917143
nova friburgo,2010,3,29.1614908571
nova iguacu,2010,3,28.3440917143
paracambi,2010,3,29.1893937143
paraiba do sul,2010,3,28.3440917143
paraty,2010,3,26.161401
paty do alferes,2010,3,28.3440917143
petropolis,2010,3,28.3440917143
pinheiral,2010,3,29.1893937143
pirai,2010,3,29.1893937143
porciuncula,2010,3,30.4357142857
porto real,2010,3,26.161401
quatis,2010,3,26.161401
queimados,2010,3,29.1893937143
quissama,2010,3,30.4357142857
resende,2010,3,26.161401
rio bonito,2010,3,28.0411444286
rio claro,2010,3,29.1893937143
rio das flores,2010,3,28.3440917143
rio das ostras,2010,3,29.1614908571
rio de janeiro,2010,3,28.3440917143
santa maria madalena,2010,3,30.4357142857
santo antonio de padua,2010,3,30.4357142857
sao francisco de itabapoana,2010,3,30.4357142857
sao fidelis,2010,3,30.4357142857
sao goncalo,2010,3,28.3440917143
sao joao da barra,2010,3,30.4357142857
sao joao de meriti,2010,3,28.3440917143
sao jose de uba,2010,3,30.4357142857
sao jose do vale do rio preto,2010,3,28.3440917143
sao pedro da aldeia,2010,3,29.7380951429
sao sebastiao do alto,2010,3,30.4357142857
sapucaia,2010,3,28.3440917143
saquarema,2010,3,29.7380951429
seropedica,2010,3,29.1893937143
silva jardim,2010,3,29.7380951429
sumidouro,2010,3,29.1614908571
tangua,2010,3,28.3440917143
teresopolis,2010,3,28.3440917143
trajano de moraes,2010,3,29.1614908571
tres rios,2010,3,28.3440917143
valenca,2010,3,25.2635491429
varre-sai,2010,3,30.4357142857
vassouras,2010,3,28.3440917143
volta redonda,2010,3,27.7775502857
angra dos reis,2010,4,25.7378338571
aperibe,2010,4,29.8428571429
araruama,2010,4,29.1515151429
areal,2010,4,27.82251
armacao dos buzios,2010,4,28.2778562857
arraial do cabo,2010,4,29.1515151429
barra do pirai,2010,4,27.1981108571
barra mansa,2010,4,28.8232321429
belford roxo,2010,4,27.82251
bom jardim,2010,4,28.2778562857
bom jesus do itabapoana,2010,4,29.8428571429
cabo frio,2010,4,29.1515151429
cachoeiras de macacu,2010,4,27.82251
cambuci,2010,4,29.8428571429
carapebus,2010,4,29.8428571429
comendador levy gasparian,2010,4,27.82251
campos dos goytacazes,2010,4,29.8428571429
cantagalo,2010,4,28.2778562857
cardoso moreira,2010,4,29.8428571429
carmo,2010,4,28.2778562857
casimiro de abreu,2010,4,28.2778562857
conceicao de macabu,2010,4,29.8428571429
cordeiro,2010,4,28.2778562857
duas barras,2010,4,28.2778562857
duque de caxias,2010,4,27.82251
engenheiro paulo de frontin,2010,4,28.8232321429
guapimirim,2010,4,27.82251
iguaba grande,2010,4,29.1515151429
itaborai,2010,4,27.82251
itaguai,2010,4,28.8232321429
italva,2010,4,29.8428571429
itaocara,2010,4,29.8428571429
itaperuna,2010,4,29.8428571429
itatiaia,2010,4,25.7378338571
japeri,2010,4,27.82251
laje do muriae,2010,4,29.8428571429
macae,2010,4,28.2778562857
macuco,2010,4,28.2778562857
mage,2010,4,27.82251
mangaratiba,2010,4,27.1981108571
marica,2010,4,27.82251
mendes,2010,4,28.8232321429
mesquita,2010,4,23.7122444286
miguel pereira,2010,4,27.82251
miracema,2010,4,29.8428571429
natividade,2010,4,29.8428571429
nilopolis,2010,4,27.82251
niteroi,2010,4,27.82251
nova friburgo,2010,4,28.2778562857
nova iguacu,2010,4,27.82251
paracambi,2010,4,28.8232321429
paraiba do sul,2010,4,27.82251
paraty,2010,4,25.7378338571
paty do alferes,2010,4,27.82251
petropolis,2010,4,27.82251
pinheiral,2010,4,28.8232321429
pirai,2010,4,28.8232321429
porciuncula,2010,4,29.8428571429
porto real,2010,4,25.7378338571
quatis,2010,4,25.7378338571
queimados,2010,4,28.8232321429
quissama,2010,4,29.8428571429
resende,2010,4,25.7378338571
rio bonito,2010,4,27.8755962857
rio claro,2010,4,28.8232321429
rio das flores,2010,4,27.82251
rio das ostras,2010,4,28.2778562857
rio de janeiro,2010,4,27.82251
santa maria madalena,2010,4,29.8428571429
santo antonio de padua,2010,4,29.8428571429
sao francisco de itabapoana,2010,4,29.8428571429
sao fidelis,2010,4,29.8428571429
sao goncalo,2010,4,27.82251
