municipio,year,week,cases
duque de caxias,2010,3,6
engenheiro paulo de frontin,2010,3,0
guapimirim,2010,3,0
iguaba grande,2010,3,0
itaborai,2010,3,25
itaguai,2010,3,6
italva,2010,3,0
itaocara,2010,3,0
itaperuna,2010,3,7
itatiaia,2010,3,0
japeri,2010,3,0
laje do muriae,2010,3,0
macae,2010,3,43
macuco,2010,3,0
mage,2010,3,2
mangaratiba,2010,3,0
marica,2010,3,0
mendes,2010,3,0
mesquita,2010,3,0
miguel pereira,2010,3,1
miracema,2010,3,0
natividade,2010,3,13
nilopolis,2010,3,0
niteroi,2010,3,2
nova friburgo,2010,3,1
nova iguacu,2010,3,6
paracambi,2010,3,0
paraiba do sul,2010,3,0
paraty,2010,3,8
paty do alferes,2010,3,0
petropolis,2010,3,2
pinheiral,2010,3,0
pirai,2010,3,2
porciuncula,2010,3,108
porto real,2010,3,0
quatis,2010,3,0
queimados,2010,3,0
quissama,2010,3,1
resende,2010,3,0
rio bonito,2010,3,16
rio claro,2010,3,0
rio das flores,2010,3,0
rio das ostras,2010,3,3
rio de janeiro,2010,3,46
santa maria madalena,2010,3,0
santo antonio de padua,2010,3,0
sao francisco de itabapoana,2010,3,0
sao fidelis,2010,3,0
sao goncalo,2010,3,6
sao joao da barra,2010,3,0
sao joao de meriti,2010,3,1
sao jose de uba,2010,3,0
sao jose do vale do rio preto,2010,3,0
sao pedro da aldeia,2010,3,0
sao sebastiao do alto,2010,3,0
sapucaia,2010,3,0
saquarema,2010,3,0
seropedica,2010,3,0
silva jardim,2010,3,0
sumidouro,2010,3,0
tangua,2010,3,35
teresopolis,2010,3,0
trajano de moraes,2010,3,0
tres rios,2010,3,1
valenca,2010,3,1
varre-sai,2010,3,0
vassouras,2010,3,0
volta redonda,2010,3,1
angra dos reis,2010,4,10
aperibe,2010,4,0
araruama,2010,4,1
areal,2010,4,0
armacao dos buzios,2010,4,0
arraial do cabo,2010,4,1
barra do pirai,2010,4,0
barra mansa,2010,4,4
belford roxo,2010,4,9
bom jardim,2010,4,0
bom jesus do itabapoana,2010,4,0
cabo frio,2010,4,0
cachoeiras de macacu,2010,4,0
cambuci,2010,4,0
carapebus,2010,4,0
comendador levy gasparian,2010,4,0
campos dos goytacazes,2010,4,61
cantagalo,2010,4,1
cardoso moreira,2010,4,0
carmo,2010,4,0
casimiro de abreu,2010,4,79
conceicao de macabu,2010,4,0
cordeiro,2010,4,1
duas barras,2010,4,0
duque de caxias,2010,4,23
engenheiro paulo de frontin,2010,4,0
guapimirim,2010,4,0
iguaba grande,2010,4,0
itaborai,2010,4,17
itaguai,2010,4,11
italva,2010,4,0
itaocara,2010,4,0
itaperuna,2010,4,9
itatiaia,2010,4,0
japeri,2010,4,0
laje do muriae,2010,4,0
macae,2010,4,41
macuco,2010,4,0
mage,2010,4,3
mangaratiba,2010,4,0
marica,2010,4,0
mendes,2010,4,0
mesquita,2010,4,0
miguel pereira,2010,4,0
miracema,2010,4,0
natividade,2010,4,15
nilopolis,2010,4,1
niteroi,2010,4,1
nova friburgo,2010,4,6
nova iguacu,2010,4,4
paracambi,2010,4,0
