municipio,year,week,population
angra dos reis,2010,1,207044
aperibe,2010,1,11901
araruama,2010,1,134293
areal,2010,1,12669
armacao dos buzios,2010,1,34477
arraial do cabo,2010,1,30593
barra do pirai,2010,1,100764
barra mansa,2010,1,184833
belford roxo,2010,1,513118
bom jardim,2010,1,41822
bom jesus do itabapoana,2010,1,37203
cabo frio,2010,1,230378
cachoeiras de macacu,2010,1,59303
cambuci,2010,1,15514
carapebus,2010,1,16586
comendador levy gasparian,2010,1,8576
campos dos goytacazes,2010,1,511168
cantagalo,2010,1,4551
cardoso moreira,2010,1,12821
carmo,2010,1,19030
casimiro de abreu,2010,1,45041
conceicao de macabu,2010,1,23398
cordeiro,2010,1,22041
duas barras,2010,1,11528
duque de caxias,2010,1,924624
engenheiro paulo de frontin,2010,1,14071
guapimirim,2010,1,61388
iguaba grande,2010,1,28837
itaborai,2010,1,242543
itaguai,2010,1,134819
italva,2010,1,15299
itaocara,2010,1,23222
itaperuna,2010,1,103800
itatiaia,2010,1,32064
japeri,2010,1,105548
laje do muriae,2010,1,7326
macae,2010,1,261501
macuco,2010,1,5623
mage,2010,1,246433
mangaratiba,2010,1,45220
marica,2010,1,164504
mendes,2010,1,18648
mesquita,2010,1,5546
miguel pereira,2010,1,25581
miracema,2010,1,27154
natividade,2010,1,9250
nilopolis,2010,1,162693
niteroi,2010,1,515317
nova friburgo,2010,1,191158
nova iguacu,2010,1,823302
paracambi,2010,1,52683
paraiba do sul,2010,1,44518
paraty,2010,1,43680
paty do alferes,2010,1,27858
petropolis,2010,1,306678
pinheiral,2010,1,25364
pirai,2010,1,29545
porciuncula,2010,1,18960
porto real,2010,1,19974
quatis,2010,1,14435
queimados,2010,1,151335
quissama,2010,1,25126
resende,2010,1,132312
rio bonito,2010,1,60573
rio claro,2010,1,18605
rio das flores,2010,1,9344
rio das ostras,2010,1,155193
rio de janeiro,2010,1,6747815
santa maria madalena,2010,1,10392
santo antonio de padua,2010,1,42594
sao francisco de itabapoana,2010,1,42210
sao fidelis,2010,1,38710
sao goncalo,2010,1,1091737
sao joao da barra,2010,1,36423
sao joao de meriti,2010,1,472906
sao jose de uba,2010,1,7206
sao jose do vale do rio preto,2010,1,21916
sao pedro da aldeia,2010,1,106049
sao sebastiao do alto,2010,1,9387
sapucaia,2010,1,6009
saquarema,2010,1,90583
seropedica,2010,1,83092
silva jardim,2010,1,21774
sumidouro,2010,1,15667
tangua,2010,1,34610
teresopolis,2010,1,184240
trajano de moraes,2010,1,10640
tres rios,2010,1,82142
valenca,2010,1,97233
varre-sai,2010,1,11106
vassouras,2010,1,37083
volta redonda,2010,1,273988
angra dos reis,2010,2,207044
aperibe,2010,2,11901
araruama,2010,2,134293
areal,2010,2,12669
armacao dos buzios,2010,2,34477
arraial do cabo,2010,2,30593
barra do pirai,2010,2,100764
barra mansa,2010,2,184833
belford roxo,2010,2,513118
bom jardim,2010,2,41822
bom jesus do itabapoana,2010,2,37203
cabo frio,2010,2,230378
cachoeiras de macacu,2010,2,59303
cambuci,2010,2,15514
carapebus,2010,2,16586
comendador levy gasparian,2010,2,8576
campos dos goytacazes,2010,2,511168
cantagalo,2010,2,4551
cardoso moreira,2010,2,12821
carmo,2010,2,19030
casimiro de abreu,2010,2,45041
conceicao de macabu,2010,2,23398
cordeiro,2010,2,22041
duas barras,2010,2,11528
duque de caxias,2010,2,924624
engenheiro paulo de frontin,2010,2,14071
guapimirim,2010,2,61388
iguaba grande,2010,2,28837
itaborai,2010,2,242543
itaguai,2010,2,134819
italva,2010,2,15299
itaocara,2010,2,23222
itaperuna,2010,2,103800
itatiaia,2010,2,32064
japeri,2010,2,105548
laje do muriae,2010,2,7326
macae,2010,2,261501
macuco,2010,2,5623
mage,2010,2,246433
mangaratiba,2010,2,45220
marica,2010,2,164504
mendes,2010,2,18648
mesquita,2010,2,5546
miguel pereira,2010,2,25581
miracema,2010,2,27154
natividade,2010,2,9250
nilopolis,2010,2,162693
niteroi,2010,2,515317
nova friburgo,2010,2,191158
nova iguacu,2010,2,823302
paracambi,2010,2,52683
paraiba do sul,2010,2,44518
paraty,2010,2,43680
paty do alferes,2010,2,27858
petropolis,2010,2,306678
pinheiral,2010,2,25364
pirai,2010,2,29545
porciuncula,2010,2,18960
porto real,2010,2,19974
quatis,2010,2,14435
queimados,2010,2,151335
quissama,2010,2,25126
resende,2010,2,132312
rio bonito,2010,2,60573
rio claro,2010,2,18605
rio das flores,2010,2,9344
rio das ostras,2010,2,155193
rio de janeiro,2010,2,6747815
santa maria madalena,2010,2,10392
santo antonio de padua,2010,2,42594
sao francisco de itabapoana,2010,2,42210
sao fidelis,2010,2,38710
sao goncalo,2010,2,1091737
sao joao da barra,2010,2,36423
sao joao de meriti,2010,2,472906
sao jose de uba,2010,2,7206
sao jose do vale do rio preto,2010,2,21916
sao pedro da aldeia,2010,2,106049
sao sebastiao do alto,2010,2,9387
sapucaia,2010,2,6009
saquarema,2010,2,90583
seropedica,2010,2,83092
silva jardim,2010,2,21774
sumidouro,2010,2,15667
tangua,2010,2,34610
teresopolis,2010,2,184240
trajano de moraes,2010,2,10640
tres rios,2010,2,82142
valenca,2010,2,97233
varre-sai,2010,2,11106
vassouras,2010,2,37083
volta redonda,2010,2,273988
angra dos reis,2010,3,207044
aperibe,2010,3,11901
araruama,2010,3,134293
areal,2010,3,12669
armacao dos buzios,2010,3,34477
arraial do cabo,2010,3,30593
barra do pirai,2010,3,100764
barra mansa,2010,3,184833
belford roxo,2010,3,513118
bom jardim,2010,3,41822
bom jesus do itabapoana,2010,3,37203
cabo frio,2010,3,230378
cachoeiras de macacu,2010,3,59303
cambuci,2010,3,15514
carapebus,2010,3,16586
comendador levy gasparian,2010,3,8576
campos dos goytacazes,2010,3,511168
cantagalo,2010,3,4551
cardoso moreira,2010,3,12821
carmo,2010,3,19030
casimiro de abreu,2010,3,45041
conceicao de macabu,2010,3,23398
cordeiro,2010,3,22041
duas barras,2010,3,11528
duque de caxias,2010,3,924624
engenheiro paulo de frontin,2010,3,14071
guapimirim,2010,3,61388
iguaba grande,2010,3,28837
itaborai,2010,3,242543
itaguai,2010,3,134819
italva,2010,3,15299
itaocara,2010,3,23222
itaperuna,2010,3,103800
itatiaia,2010,3,32064
japeri,2010,3,105548
laje do muriae,2010,3,7326
macae,2010,3,261501
macuco,2010,3,5623
mage,2010,3,246433
mangaratiba,2010,3,45220
marica,2010,3,164504
mendes,2010,3,18648
mesquita,2010,3,5546
miguel pereira,2010,3,25581
miracema,2010,3,27154
natividade,2010,3,9250
nilopolis,2010,3,162693
niteroi,2010,3,515317
nova friburgo,2010,3,191158
nova iguacu,2010,3,823302
paracambi,2010,3,52683
paraiba do sul,2010,3,44518
paraty,2010,3,43680
paty do alferes,2010,3,27858
petropolis,2010,3,306678
pinheiral,2010,3,25364
pirai,2010,3,29545
porciuncula,2010,3,18960
porto real,2010,3,19974
quatis,2010,3,14435
queimados,2010,3,151335
quissama,2010,3,25126
resende,2010,3,132312
rio bonito,2010,3,60573
rio claro,2010,3,18605
rio das flores,2010,3,9344
rio das ostras,2010,3,155193
rio de janeiro,2010,3,6747815
santa maria madalena,2010,3,10392
santo antonio de padua,2010,3,42594
sao francisco de itabapoana,2010,3,42210
sao fidelis,2010,3,38710
sao goncalo,2010,3,1091737
sao joao da barra,2010,3,36423
sao joao de meriti,2010,3,472906
sao jose de uba,2010,3,7206
sao jose do vale do rio preto,2010,3,21916
sao pedro da aldeia,2010,3,106049
sao sebastiao do alto,2010,3,9387
sapucaia,2010,3,6009
saquarema,2010,3,90583
seropedica,2010,3,83092
silva jardim,2010,3,21774
sumidouro,2010,3,15667
tangua,2010,3,34610
teresopolis,2010,3,184240
trajano de moraes,2010,3,10640
tres rios,2010,3,82142
valenca,2010,3,97233
varre-sai,2010,3,11106
vassouras,2010,3,37083
volta redonda,2010,3,273988
angra dos reis,2010,4,207044
aperibe,2010,4,11901
araruama,2010,4,134293
areal,2010,4,12669
armacao dos buzios,2010,4,34477
arraial do cabo,2010,4,30593
barra do pirai,2010,4,100764
barra mansa,2010,4,184833
belford roxo,2010,4,513118
bom jardim,2010,4,41822
bom jesus do itabapoana,2010,4,37203
cabo frio,2010,4,230378
cachoeiras de macacu,2010,4,59303
cambuci,2010,4,15514
carapebus,2010,4,16586
comendador levy gasparian,2010,4,8576
campos dos goytacazes,2010,4,511168
cantagalo,2010,4,4551
cardoso moreira,2010,4,12821
carmo,2010,4,19030
casimiro de abreu,2010,4,45041
conceicao de macabu,2010,4,23398
cordeiro,2010,4,22041
duas barras,2010,4,11528
duque de caxias,2010,4,924624
engenheiro paulo de frontin,2010,4,14071
guapimirim,2010,4,61388
iguaba grande,2010,4,28837
itaborai,2010,4,242543
itaguai,2010,4,134819
italva,2010,4,15299
itaocara,2010,4,23222
itaperuna,2010,4,103800
itatiaia,2010,4,32064
japeri,2010,4,105548
laje do muriae,2010,4,7326
macae,2010,4,261501
macuco,2010,4,5623
mage,2010,4,246433
mangaratiba,2010,4,45220
marica,2010,4,164504
mendes,2010,4,18648
mesquita,2010,4,5546
miguel pereira,2010,4,25581
miracema,2010,4,27154
natividade,2010,4,9250
nilopolis,2010,4,162693
niteroi,2010,4,515317
nova friburgo,2010,4,191158
nova iguacu,2010,4,823302
paracambi,2010,4,52683
paraiba do sul,2010,4,44518
paraty,2010,4,43680
paty do alferes,2010,4,27858
petropolis,2010,4,306678
pinheiral,2010,4,25364
pirai,2010,4,29545
porciuncula,2010,4,18960
porto real,2010,4,19974
quatis,2010,4,14435
queimados,2010,4,151335
quissama,2010,4,25126
resende,2010,4,132312
rio bonito,2010,4,60573
rio claro,2010,4,18605
rio das flores,2010,4,9344
rio das ostras,2010,4,155193
rio de janeiro,2010,4,6747815
santa maria madalena,2010,4,10392
santo antonio de padua,2010,4,42594
sao francisco de itabapoana,2010,4,42210
sao fidelis,2010,4,38710
sao goncalo,2010,4,1091737
sao joao da barra,2010,4,36423
sao joao de meriti,2010,4,472906
sao jose de uba,2010,4,7206
sao jose do vale do rio preto,2010,4,21916
sao pedro da aldeia,2010,4,106049
sao sebastiao do alto,2010,4,9387
sapucaia,2010,4,6009
saquarema,2010,4,90583
seropedica,2010,4,83092
silva jardim,2010,4,21774
sumidouro,2010,4,15667
tangua,2010,4,34610
teresopolis,2010,4,184240
trajano de moraes,2010,4,10640
tres rios,2010,4,82142
valenca,2010,4,97233
varre-sai,2010,4,11106
vassouras,2010,4,37083
volta redonda,2010,4,273988
angra dos reis,2010,5,207044
aperibe,2010,5,11901
araruama,2010,5,134293
areal,2010,5,12669
armacao dos buzios,2010,5,34477
arraial do cabo,2010,5,30593
barra do pirai,2010,5,100764
barra mansa,2010,5,184833
belford roxo,2010,5,513118
bom jardim,2010,5,41822
bom jesus do itabapoana,2010,5,37203
cabo frio,2010,5,230378
cachoeiras de macacu,2010,5,59303
cambuci,2010,5,15514
carapebus,2010,5,16586
comendador levy gasparian,2010,5,8576
campos dos goytacazes,2010,5,511168
cantagalo,2010,5,4551
cardoso moreira,2010,5,12821
carmo,2010,5,19030
casimiro de abreu,2010,5,45041
conceicao de macabu,2010,5,23398
cordeiro,2010,5,22041
duas barras,2010,5,11528
duque de caxias,2010,5,924624
engenheiro paulo de frontin,2010,5,14071
guapimirim,2010,5,61388
iguaba grande,2010,5,28837
itaborai,2010,5,242543
itaguai,2010,5,134819
italva,2010,5,15299
itaocara,2010,5,23222
itaperuna,2010,5,103800
itatiaia,2010,5,32064
japeri,2010,5,105548
laje do muriae,2010,5,7326
macae,2010,5,261501
macuco,2010,5,5623
mage,2010,5,246433
mangaratiba,2010,5,45220
marica,2010,5,164504
mendes,2010,5,18648
mesquita,2010,5,5546
miguel pereira,2010,5,25581
miracema,2010,5,27154
natividade,2010,5,9250
nilopolis,2010,5,162693
niteroi,2010,5,515317
nova friburgo,2010,5,191158
nova iguacu,2010,5,823302
paracambi,2010,5,52683
paraiba do sul,2010,5,44518
paraty,2010,5,43680
paty do alferes,2010,5,27858
petropolis,2010,5,306678
pinheiral,2010,5,25364
pirai,2010,5,29545
porciuncula,2010,5,18960
porto real,2010,5,19974
quatis,2010,5,14435
queimados,2010,5,151335
quissama,2010,5,25126
resende,2010,5,132312
rio bonito,2010,5,60573
rio claro,2010,5,18605
rio das flores,2010,5,9344
rio das ostras,2010,5,155193
rio de janeiro,2010,5,6747815
santa maria madalena,2010,5,10392
santo antonio de padua,2010,5,42594
sao francisco de itabapoana,2010,5,42210
sao fidelis,2010,5,38710
sao goncalo,2010,5,1091737
sao joao da barra,2010,5,36423
sao joao de meriti,2010,5,472906
sao jose de uba,2010,5,7206
sao jose do vale do rio preto,2010,5,21916
sao pedro da aldeia,2010,5,106049
sao sebastiao do alto,2010,5,9387
sapucaia,2010,5,6009
saquarema,2010,5,90583
seropedica,2010,5,83092
silva jardim,2010,5,21774
sumidouro,2010,5,15667
tangua,2010,5,34610
teresopolis,2010,5,184240
trajano de moraes,2010,5,10640
tres rios,2010,5,82142
valenca,2010,5,97233
varre-sai,2010,5,11106
vassouras,2010,5,37083
volta redonda,2010,5,273988
angra dos reis,2010,6,207044
aperibe,2010,6,11901
araruama,2010,6,134293
areal,2010,6,12669
armacao dos buzios,2010,6,34477
arraial do cabo,2010,6,30593
barra do pirai,2010,6,100764
barra mansa,2010,6,184833
belford roxo,2010,6,513118
bom jardim,2010,6,41822
bom jesus do itabapoana,2010,6,37203
cabo frio,2010,6,230378
cachoeiras de macacu,2010,6,59303
cambuci,2010,6,15514
carapebus,2010,6,16586
comendador levy gasparian,2010,6,8576
campos dos goytacazes,2010,6,511168
cantagalo,2010,6,4551
cardoso moreira,2010,6,12821
carmo,2010,6,19030
casimiro de abreu,2010,6,45041
conceicao de macabu,2010,6,23398
cordeiro,2010,6,22041
duas barras,2010,6,11528
duque de caxias,2010,6,924624
engenheiro paulo de frontin,2010,6,14071
guapimirim,2010,6,61388
iguaba grande,2010,6,28837
itaborai,2010,6,242543
itaguai,2010,6,134819
italva,2010,6,15299
itaocara,2010,6,23222
itaperuna,2010,6,103800
itatiaia,2010,6,32064
japeri,2010,6,105548
laje do muriae,2010,6,7326
macae,2010,6,261501
macuco,2010,6,5623
mage,2010,6,246433
mangaratiba,2010,6,45220
marica,2010,6,164504
mendes,2010,6,18648
mesquita,2010,6,5546
miguel pereira,2010,6,25581
miracema,2010,6,27154
natividade,2010,6,9250
nilopolis,2010,6,162693
niteroi,2010,6,515317
nova friburgo,2010,6,191158
nova iguacu,2010,6,823302
paracambi,2010,6,52683
paraiba do sul,2010,6,44518
paraty,2010,6,43680
paty do alferes,2010,6,27858
petropolis,2010,6,306678
pinheiral,2010,6,25364
pirai,2010,6,29545
porciuncula,2010,6,18960
porto real,2010,6,19974
quatis,2010,6,14435
queimados,2010,6,151335
quissama,2010,6,25126
resende,2010,6,132312
rio bonito,2010,6,60573
rio claro,2010,6,18605
rio das flores,2010,6,9344
rio das ostras,2010,6,155193
rio de janeiro,2010,6,6747815
santa maria madalena,2010,6,10392
santo antonio de padua,2010,6,42594
sao francisco de itabapoana,2010,6,42210
sao fidelis,2010,6,38710
sao goncalo,2010,6,1091737
sao joao da barra,2010,6,36423
sao joao de meriti,2010,6,472906
sao jose de uba,2010,6,7206
sao jose do vale do rio preto,2010,6,21916
sao pedro da aldeia,2010,6,106049
sao sebastiao do alto,2010,6,9387
sapucaia,2010,6,6009
saquarema,2010,6,90583
seropedica,2010,6,83092
silva jardim,2010,6,21774
sumidouro,2010,6,15667
tangua,2010,6,34610
teresopolis,2010,6,184240
trajano de moraes,2010,6,10640
tres rios,2010,6,82142
valenca,2010,6,97233
varre-sai,2010,6,11106
vassouras,2010,6,37083
volta redonda,2010,6,273988
angra dos reis,2010,7,207044
aperibe,2010,7,11901
araruama,2010,7,134293
areal,2010,7,12669
armacao dos buzios,2010,7,34477
arraial do cabo,2010,7,30593
barra do pirai,2010,7,100764
barra mansa,2010,7,184833
belford roxo,2010,7,513118
bom jardim,2010,7,41822
bom jesus do itabapoana,2010,7,37203
cabo frio,2010,7,230378
cachoeiras de macacu,2010,7,59303
cambuci,2010,7,15514
carapebus,2010,7,16586
comendador levy gasparian,2010,7,8576
campos dos goytacazes,2010,7,511168
cantagalo,2010,7,4551
cardoso moreira,2010,7,12821
carmo,2010,7,19030
casimiro de abreu,2010,7,45041
conceicao de macabu,2010,7,23398
cordeiro,2010,7,22041
duas barras,2010,7,11528
duque de caxias,2010,7,924624
engenheiro paulo de frontin,2010,7,14071
guapimirim,2010,7,61388
iguaba grande,2010,7,28837
itaborai,2010,7,242543
itaguai,2010,7,134819
italva,2010,7,15299
itaocara,2010,7,23222
itaperuna,2010,7,103800
itatiaia,2010,7,32064
japeri,2010,7,105548
laje do muriae,2010,7,7326
macae,2010,7,261501
macuco,2010,7,5623
mage,2010,7,246433
mangaratiba,2010,7,45220
marica,2010,7,164504
mendes,2010,7,18648
mesquita,2010,7,5546
miguel pereira,2010,7,25581
miracema,2010,7,27154
natividade,2010,7,9250
nilopolis,2010,7,162693
niteroi,2010,7,515317
nova friburgo,2010,7,191158
nova iguacu,2010,7,823302
paracambi,2010,7,52683
paraiba do sul,2010,7,44518
paraty,2010,7,43680
paty do alferes,2010,7,27858
petropolis,2010,7,306678
pinheiral,2010,7,25364
pirai,2010,7,29545
porciuncula,2010,7,18960
porto real,2010,7,19974
quatis,2010,7,14435
queimados,2010,7,151335
quissama,2010,7,25126
resende,2010,7,132312
rio bonito,2010,7,60573
rio claro,2010,7,18605
rio das flores,2010,7,9344
rio das ostras,2010,7,155193
rio de janeiro,2010,7,6747815
santa maria madalena,2010,7,10392
santo antonio de padua,2010,7,42594
sao francisco de itabapoana,2010,7,42210
sao fidelis,2010,7,38710
sao goncalo,2010,7,1091737
sao joao da barra,2010,7,36423
sao joao de meriti,2010,7,472906
sao jose de uba,2010,7,7206
sao jose do vale do rio preto,2010,7,21916
sao pedro da aldeia,2010,7,106049
sao sebastiao do alto,2010,7,9387
sapucaia,2010,7,6009
saquarema,2010,7,90583
seropedica,2010,7,83092
silva jardim,2010,7,21774
sumidouro,2010,7,15667
tangua,2010,7,34610
teresopolis,2010,7,184240
trajano de moraes,2010,7,10640
tres rios,2010,7,82142
valenca,2010,7,97233
varre-sai,2010,7,11106
vassouras,2010,7,37083
volta redonda,2010,7,273988
angra dos reis,2010,8,207044
aperibe,2010,8,11901
araruama,2010,8,134293
areal,2010,8,12669
armacao dos buzios,2010,8,34477
arraial do cabo,2010,8,30593
barra do pirai,2010,8,100764
barra mansa,2010,8,184833
belford roxo,2010,8,513118
bom jardim,2010,8,41822
bom jesus do itabapoana,2010,8,37203
cabo frio,2010,8,230378
cachoeiras de macacu,2010,8,59303
cambuci,2010,8,15514
carapebus,2010,8,16586
comendador levy gasparian,2010,8,8576
campos dos goytacazes,2010,8,511168
cantagalo,2010,8,4551
cardoso moreira,2010,8,12821
carmo,2010,8,19030
casimiro de abreu,2010,8,45041
conceicao de macabu,2010,8,23398
cordeiro,2010,8,22041
duas barras,2010,8,11528
duque de caxias,2010,8,924624
engenheiro paulo de frontin,2010,8,14071
guapimirim,2010,8,61388
iguaba grande,2010,8,28837
itaborai,2010,8,242543
itaguai,2010,8,134819
italva,2010,8,15299
itaocara,2010,8,23222
itaperuna,2010,8,103800
itatiaia,2010,8,32064
japeri,2010,8,105548
laje do muriae,2010,8,7326
macae,2010,8,261501
macuco,2010,8,5623
mage,2010,8,246433
mangaratiba,2010,8,45220
marica,2010,8,164504
mendes,2010,8,18648
mesquita,2010,8,5546
miguel pereira,2010,8,25581
miracema,2010,8,27154
natividade,2010,8,9250
nilopolis,2010,8,162693
niteroi,2010,8,515317
nova friburgo,2010,8,191158
nova iguacu,2010,8,823302
paracambi,2010,8,52683
paraiba do sul,2010,8,44518
paraty,2010,8,43680
paty do alferes,2010,8,27858
petropolis,2010,8,306678
pinheiral,2010,8,25364
pirai,2010,8,29545
porciuncula,2010,8,18960
porto real,2010,8,19974
quatis,2010,8,14435
queimados,2010,8,151335
quissama,2010,8,25126
resende,2010,8,132312
rio bonito,2010,8,60573
rio claro,2010,8,18605
rio das flores,2010,8,9344
rio das ostras,2010,8,155193
rio de janeiro,2010,8,6747815
santa maria madalena,2010,8,10392
santo antonio de padua,2010,8,42594
sao francisco de itabapoana,2010,8,42210
sao fidelis,2010,8,38710
sao goncalo,2010,8,1091737
sao joao da barra,2010,8,36423
sao joao de meriti,2010,8,472906
sao jose de uba,2010,8,7206
sao jose do vale do rio preto,2010,8,21916
sao pedro da aldeia,2010,8,106049
sao sebastiao do alto,2010,8,9387
sapucaia,2010,8,6009
saquarema,2010,8,90583
seropedica,2010,8,83092
silva jardim,2010,8,21774
sumidouro,2010,8,15667
tangua,2010,8,34610
teresopolis,2010,8,184240
trajano de moraes,2010,8,10640
tres rios,2010,8,82142
valenca,2010,8,97233
varre-sai,2010,8,11106
vassouras,2010,8,37083
volta redonda,2010,8,273988
angra dos reis,2010,9,207044
aperibe,2010,9,11901
araruama,2010,9,134293
areal,2010,9,12669
armacao dos buzios,2010,9,34477
arraial do cabo,2010,9,30593
barra do pirai,2010,9,100764
barra mansa,2010,9,184833
belford roxo,2010,9,513118
bom jardim,2010,9,41822
bom jesus do itabapoana,2010,9,37203
cabo frio,2010,9,230378
cachoeiras de macacu,2010,9,59303
cambuci,2010,9,15514
carapebus,2010,9,16586
comendador levy gasparian,2010,9,8576
campos dos goytacazes,2010,9,511168
cantagalo,2010,9,4551
cardoso moreira,2010,9,12821
carmo,2010,9,19030
casimiro de abreu,2010,9,45041
conceicao de macabu,2010,9,23398
cordeiro,2010,9,22041
duas barras,2010,9,11528
duque de caxias,2010,9,924624
engenheiro paulo de frontin,2010,9,14071
guapimirim,2010,9,61388
iguaba grande,2010,9,28837
itaborai,2010,9,242543
itaguai,2010,9,134819
italva,2010,9,15299
itaocara,2010,9,23222
itaperuna,2010,9,103800
itatiaia,2010,9,32064
japeri,2010,9,105548
laje do muriae,2010,9,7326
macae,2010,9,261501
macuco,2010,9,5623
mage,2010,9,246433
mangaratiba,2010,9,45220
marica,2010,9,164504
mendes,2010,9,18648
mesquita,2010,9,5546
miguel pereira,2010,9,25581
miracema,2010,9,27154
natividade,2010,9,9250
nilopolis,2010,9,162693
niteroi,2010,9,515317
nova friburgo,2010,9,191158
nova iguacu,2010,9,823302
paracambi,2010,9,52683
paraiba do sul,2010,9,44518
paraty,2010,9,43680
paty do alferes,2010,9,27858
petropolis,2010,9,306678
pinheiral,2010,9,25364
pirai,2010,9,29545
porciuncula,2010,9,18960
porto real,2010,9,19974
quatis,2010,9,14435
queimados,2010,9,151335
quissama,2010,9,25126
resende,2010,9,132312
rio bonito,2010,9,60573
rio claro,2010,9,18605
rio das flores,2010,9,9344
rio das ostras,2010,9,155193
rio de janeiro,2010,9,6747815
santa maria madalena,2010,9,10392
santo antonio de padua,2010,9,42594
sao francisco de itabapoana,2010,9,42210
sao fidelis,2010,9,38710
sao goncalo,2010,9,1091737
sao joao da barra,2010,9,36423
sao joao de meriti,2010,9,472906
sao jose de uba,2010,9,7206
sao jose do vale do rio preto,2010,9,21916
sao pedro da aldeia,2010,9,106049
sao sebastiao do alto,2010,9,9387
sapucaia,2010,9,6009
saquarema,2010,9,90583
seropedica,2010,9,83092
silva jardim,2010,9,21774
sumidouro,2010,9,15667
tangua,2010,9,34610
teresopolis,2010,9,184240
trajano de moraes,2010,9,10640
tres rios,2010,9,82142
valenca,2010,9,97233
varre-sai,2010,9,11106
vassouras,2010,9,37083
volta redonda,2010,9,273988
angra dos reis,2010,10,207044
aperibe,2010,10,11901
araruama,2010,10,134293
areal,2010,10,12669
armacao dos buzios,2010,10,34477
arraial do cabo,2010,10,30593
barra do pirai,2010,10,100764
barra mansa,2010,10,184833
belford roxo,2010,10,513118
bom jardim,2010,10,41822
bom jesus do itabapoana,2010,10,37203
cabo frio,2010,10,230378
cachoeiras de macacu,2010,10,59303
cambuci,2010,10,15514
carapebus,2010,10,16586
comendador levy gasparian,2010,10,8576
campos dos goytacazes,2010,10,511168
cantagalo,2010,10,4551
cardoso moreira,2010,10,12821
carmo,2010,10,19030
casimiro de abreu,2010,10,45041
conceicao de macabu,2010,10,23398
cordeiro,2010,10,22041
duas barras,2010,10,11528
duque de caxias,2010,10,924624
engenheiro paulo de frontin,2010,10,14071
guapimirim,2010,10,61388
iguaba grande,2010,10,28837
itaborai,2010,10,242543
itaguai,2010,10,134819
italva,2010,10,15299
itaocara,2010,10,23222
itaperuna,2010,10,103800
itatiaia,2010,10,32064
japeri,2010,10,105548
laje do muriae,2010,10,7326
macae,2010,10,261501
macuco,2010,10,5623
mage,2010,10,246433
mangaratiba,2010,10,45220
marica,2010,10,164504
mendes,2010,10,18648
mesquita,2010,10,5546
miguel pereira,2010,10,25581
miracema,2010,10,27154
natividade,2010,10,9250
nilopolis,2010,10,162693
niteroi,2010,10,515317
nova friburgo,2010,10,191158
nova iguacu,2010,10,823302
paracambi,2010,10,52683
paraiba do sul,2010,10,44518
paraty,2010,10,43680
paty do alferes,2010,10,27858
petropolis,2010,10,306678
pinheiral,2010,10,25364
pirai,2010,10,29545
porciuncula,2010,10,18960
porto real,2010,10,19974
quatis,2010,10,14435
queimados,2010,10,151335
quissama,2010,10,25126
resende,2010,10,132312
rio bonito,2010,10,60573
rio claro,2010,10,18605
rio das flores,2010,10,9344
rio das ostras,2010,10,155193
rio de janeiro,2010,10,6747815
santa maria madalena,2010,10,10392
santo antonio de padua,2010,10,42594
sao francisco de itabapoana,2010,10,42210
sao fidelis,2010,10,38710
sao goncalo,2010,10,1091737
sao joao da barra,2010,10,36423
sao joao de meriti,2010,10,472906
sao jose de uba,2010,10,7206
sao jose do vale do rio preto,2010,10,21916
sao pedro da aldeia,2010,10,106049
sao sebastiao do alto,2010,10,9387
sapucaia,2010,10,6009
saquarema,2010,10,90583
seropedica,2010,10,83092
silva jardim,2010,10,21774
sumidouro,2010,10,15667
tangua,2010,10,34610
teresopolis,2010,10,184240
trajano de moraes,2010,10,10640
tres rios,2010,10,82142
valenca,2010,10,97233
varre-sai,2010,10,11106
vassouras,2010,10,37083
volta redonda,2010,10,273988
angra dos reis,2010,11,207044
aperibe,2010,11,11901
araruama,2010,11,134293
areal,2010,11,12669
armacao dos buzios,2010,11,34477
arraial do cabo,2010,11,30593
barra do pirai,2010,11,100764
barra mansa,2010,11,184833
belford roxo,2010,11,513118
bom jardim,2010,11,41822
bom jesus do itabapoana,2010,11,37203
cabo frio,2010,11,230378
cachoeiras de macacu,2010,11,59303
cambuci,2010,11,15514
carapebus,2010,11,16586
comendador levy gasparian,2010,11,8576
campos dos goytacazes,2010,11,511168
cantagalo,2010,11,4551
cardoso moreira,2010,11,12821
carmo,2010,11,19030
casimiro de abreu,2010,11,45041
conceicao de macabu,2010,11,23398
cordeiro,2010,11,22041
duas barras,2010,11,11528
duque de caxias,2010,11,924624
engenheiro paulo de frontin,2010,11,14071
guapimirim,2010,11,61388
iguaba grande,2010,11,28837
itaborai,2010,11,242543
itaguai,2010,11,134819
italva,2010,11,15299
itaocara,2010,11,23222
itaperuna,2010,11,103800
itatiaia,2010,11,32064
japeri,2010,11,105548
laje do muriae,2010,11,7326
macae,2010,11,261501
macuco,2010,11,5623
mage,2010,11,246433
mangaratiba,2010,11,45220
marica,2010,11,164504
mendes,2010,11,18648
mesquita,2010,11,5546
miguel pereira,2010,11,25581
miracema,2010,11,27154
natividade,2010,11,9250
nilopolis,2010,11,162693
niteroi,2010,11,515317
nova friburgo,2010,11,191158
nova iguacu,2010,11,823302
paracambi,2010,11,52683
paraiba do sul,2010,11,44518
paraty,2010,11,43680
paty do alferes,2010,11,27858
petropolis,2010,11,306678
pinheiral,2010,11,25364
